species	UKOTs	n	remarks
Boiga irregularis	BM	1	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Boiga irregularis	KY	1	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Boiga irregularis	MS	1	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Boiga irregularis	TC	1	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Boiga irregularis	VG	1	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Bufo marinus	KY	1	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Bufo marinus	MS	1	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Bufo marinus	TC	1	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Bufo marinus	VG	1	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Caiman crocodilus	VG	1	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Callosciurus erythreaus	AI	1	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Callosciurus erythreaus	BM	1	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Callosciurus erythreaus	KY	1	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Callosciurus erythreaus	MS	1	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Callosciurus erythreaus	TC	1	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Callosciurus erythreaus	VG	1	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Callosciurus finlaysonii	AI	1	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Callosciurus finlaysonii	BM	1	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Callosciurus finlaysonii	KY	1	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Callosciurus finlaysonii	MS	1	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Callosciurus finlaysonii	TC	1	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Callosciurus finlaysonii	VG	1	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Canis familiaris	KY	1	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Capra hircus	VG	1	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Chiloscyllium punctatum	VG	1	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Chrysemys picta	AI	1	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Chrysemys picta	BM	1	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Chrysemys picta	KY	1	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Chrysemys picta	MS	1	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Chrysemys picta	TC	1	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Chrysemys picta	VG	1	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Dasyprocta punctata	AI	1	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Dasyprocta punctata	BM	1	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Dasyprocta punctata	KY	1	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Dasyprocta punctata	MS	1	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Dasyprocta punctata	TC	1	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Dasyprocta punctata	VG	1	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Eleutherodactylus cocqui	AI	1	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Eleutherodactylus cocqui	BM	1	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Eleutherodactylus cocqui	KY	1	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Eleutherodactylus cocqui	MS	1	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Eleutherodactylus cocqui	TC	1	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Forpus passerinus	AI	1	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Forpus passerinus	BM	1	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Forpus passerinus	KY	1	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
