species	AI	BM	KY	MS	TC	VG	organism_type	synonyms	common_names	broad_habitat	exotic_in	invasive_in	main_reference	checklist	origin	phylum
Forpus passerinus	NA	NA	NA	NA	NA	NA	Vertebrate - Bird	NA	Green-Rumped Parrotlet;	Terrestrial	Trinidad;	NA	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Galagno succineta	NA	NA	NA	NA	NA	NA	"Invertebrate -
Mollusc"	NA	lesser grilled triton;	Marine	Curacao	NA	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Gallus gallus	2	1	8	NA	NA	35	Vertebrate - Bird	NA	chicken;domestic hen;	Terrestrial	Bermuda;Anguilla;Montserrat;Turks and Caicos Islands;Cayman Islands;	Bermuda;Montserrat;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Gambusia affinis	NA	NA	NA	NA	NA	NA	Vertebrate - Fish	NA	Pez mosquito(DR);western mosquito fish;	Freshwater	Dominican Republic;Puerto Rico;	Dominican Republic;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Gambusia holbrooki	NA	7	NA	NA	NA	NA	Vertebrate - Fish	NA	Pez mosquito (DR);eastern mosquito fish	Freshwater	Dominican Republic;Bermuda;Puerto Rico;Haiti;Mexico;	Dominican Republic;Puerto Rico;Haiti;Mexico;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Gastrophryne carolinensis	NA	NA	NA	NA	NA	NA	"Vertebrate -
Amphibian"	NA	NA	NA	"Grand Cayman Island(Cayman Islands);Bahamas
Islands;"	Grand Cayman Island(Cayman Islands);	"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"	Caribbean_IAS_db	NA	NA
Geukensia demissa	NA	NA	NA	NA	NA	NA	"Invertebrate -
Mollusc"	NA	NA	NA	Venezuela;	NA	"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"	Caribbean_IAS_db	NA	NA
Gramma loreto	NA	NA	31	NA	6	2	Vertebrate - Fish	NA	Royal gramma	Marine	Florida;	NA	"Lopez Vyjayanthi and Ulrike Krauss. National and Regional
Capacities and Experiences on Marine Invasive Species,Including
Ballast Waters, Management Programmes in the Wider Caribbean
Region - a Compilation of Current Information. 2006."	Caribbean_IAS_db	NA	NA
Gynaikothrips ficorum	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	"Tripido del laurel (DR);thrips;Cuban laurel
thrips(ISC)"	Terrestrial	Dominican Republic;	Dominican Republic;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Gyraulus sp.	NA	NA	NA	NA	NA	NA	"Invertebrate -
Mollusc"	NA	NA	Freshwater	Martinique	NA	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Heliothrips rubrocinctus	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	Cacao thrips (Jamaica);	Terrestrial	Jamaica;	Jamaica:	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Helisoma duryi	NA	3	NA	NA	NA	NA	"Invertebrate -
Mollusc"	NA	NA	Freshwater	Martinique	NA	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Hemiberlesia lataniae	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	Latania Scale	Terrestrial	Bahamas Islands;	NA	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Hemichromis letourneuxi	NA	NA	NA	NA	NA	NA	Vertebrate - Fish	NA	African jewelfish	Marine	Florida;	NA	"Lopez Vyjayanthi and Ulrike Krauss. National and Regional
Capacities and Experiences on Marine Invasive Species,Including
Ballast Waters, Management Programmes in the Wider Caribbean
Region - a Compilation of Current Information. 2006."	Caribbean_IAS_db	NA	NA
Hemidactylus frenatus	NA	NA	NA	NA	NA	NA	Vertebrate - Reptile	NA	NA	NA	Venezuela;	NA	"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"	Caribbean_IAS_db	NA	NA
Hemidactylus mabouia	9	10	3	22	3	74	Vertebrate - Reptile	NA	"pegapega;cosmopolitan house gecko;wood
slave;African wood slave;"	Terrestrial	"Curacao;Anguilla;British Virgin Islands;Cayman Islands;Puerto Rico;
Martinique;St. Vincent- Grenadines;Grenada;TrinidadTobago;Dominica;
Venezuela;Guyana;Suriname;"	Curacao;Martinique;Venezuela;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Hemiscylliidae sp.	NA	NA	NA	NA	NA	NA	Vertebrate - Fish	NA	Bamboo shark;	Marine	Bahamas Islands;	Bahamas Islands;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Herpestes auropunctatus	NA	NA	NA	NA	NA	NA	"Vertebrate -
Mammal"	NA	"Small indian mongoose;Indian mongoose;Javan
mongoose;Huron (DR)"	Terrestrial	"Antigua-Barbuda;Anguilla;Cuba;Dominican Republic;Puerto Rico;Jamaica;
Dominican Republic;Bahamas;Barbados;Grenada;Guadeloupe; Puerto Rico;St.
Martin;Trinidad-Tobago;US Virgin Islands(St.John);British Virgin
Islands;Bermuda;Haiti;Netherlands Antilles;Martinique;St. Lucia;St. Vincent-
Grenadines;St. Kitts-Nevis;Guyana; Suriname;"	"Jamaica;Antigua-Barbuda;Anguilla;Cuba;Dominican Republic;Puerto Rico;Domin
ican Republic;Bahamas;Barbados;Grenada;Guadeloupe;Puerto Rico;St. Martin; Trinidad-
Tobago;US Virgin Islands(St.John);British Virgin Islands;Bermuda; Martinique;Haiti;St.
Kitts-Nevis;St. Lucia;St. Vincent-Grenadines;"	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Hoplosternum littorale	NA	NA	NA	NA	NA	NA	Vertebrate - Fish	NA	Brown hoplo	Marine	Florida;	NA	"Lopez Vyjayanthi and Ulrike Krauss. National and Regional
Capacities and Experiences on Marine Invasive Species,Including
Ballast Waters, Management Programmes in the Wider Caribbean
Region - a Compilation of Current Information. 2006."	Caribbean_IAS_db	NA	NA
Hydroides elegans	NA	NA	NA	NA	NA	NA	"Invertebrate -
Annelid"	NA	A polychaete worm	Marine	Florida;	NA	"Lopez Vyjayanthi and Ulrike Krauss. National and Regional
Capacities and Experiences on Marine Invasive Species,Including
Ballast Waters, Management Programmes in the Wider Caribbean
Region - a Compilation of Current Information. 2006."	Caribbean_IAS_db	NA	NA
Hyotissa hyotis	NA	1	NA	1	NA	NA	"Invertebrate -
mollusc"	NA	Giant coxcomb oyster, Honeycomb oyster	Marine	Florida;	NA	"Lopez Vyjayanthi and Ulrike Krauss. National and Regional
Capacities and Experiences on Marine Invasive Species,Including
Ballast Waters, Management Programmes in the Wider Caribbean
Region - a Compilation of Current Information. 2006."	Caribbean_IAS_db	NA	NA
Hypophthalmichthys molitrix	NA	NA	NA	NA	NA	NA	Vertebrate - Fish	NA	Silver carp(ISC)	NA	Dominican Republic;Puerto Rico;Cuba;Jamaica;Honduras;Costa Rica; Panama;	Cuba;Dominican Republic;Jamaica;Puerto Rico;Honduras;Costa Rica;Panama;	"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"	Caribbean_IAS_db	NA	NA
Hypophthalmichthys nobilis	NA	NA	NA	NA	NA	NA	Vertebrate - Fish	Aristichthys nobilis	Bighead Carp(ISC)	NA	Dominican Republic;Cuba;Costa Rica;Panama;	Dominican Republic;Cuba;Costa Rica;Panama;	"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"	Caribbean_IAS_db	NA	NA
Hypothenemus hampei	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	"Coffee Bean Borer;Broca del café (DR);Coffee
berry borer (ISC)"	Terrestrial	Dominican Republic;Cuba;Puerto Rico;	"Dominican
Republic;Cuba;"	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Icerya purchasi	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	Cottony cushion scale;	Terrestrial	"Bahamas Islands;Montserrat;Bermuda;Antigua-
Barbuda;Bahamas;Barbados;Cayman
Islands;Cuba;Curacao;Dominica;Dominican
Republic;Guadeloupe;Haiti;Jamaica;Martinique;Puerto Rico;St. Kitts-Nevis;St.
Lucia;Trinidad-Tobago;Guyana;Venezuela;"	"Montserrat;Bermuda;Antigua-Barbuda;Bahamas;Barbados;Cayman
Islands;Cuba;Curacao;Dominica;Dominican
Republic;Guadeloupe;Haiti;Jamaica;Martinique;Puerto Rico;St. Kitts-Nevis;St.
Lucia;Trinidad-Tobago;Guyana;Venezuela;"	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Ictalurus punctatus	NA	NA	NA	NA	NA	NA	Vertebrate - Fish	NA	Pez gato (DR);Channel Catfish	Freshwater	Dominican Republic;	Dominican Republic;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Iguana iguana	NA	NA	20	9	NA	1	Vertebrate - Reptile	NA	common iguana	Terrestrial	"Anguilla;Turks and Caicos Islands;Cayman Islands;Puerto Rico;Netherlands
Antilles;Martinique;St. Lucia;Guadeloupe;St. Martin (France);St. Martin
(Netherlands);"	Anguilla;Cayman Islands;Guadeloupe;Martinique;Puerto Rico;St. Lucia;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Ips sp.	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	Barrenador del pino (DR);bark beetle;	Terrestrial	Dominican Republic;	Dominican Republic;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Lates niloticus	NA	NA	NA	NA	NA	NA	Vertebrate - Fish	NA	Nile perch(ISC)	NA	Cuba;	NA	"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"	Caribbean_IAS_db	NA	NA
Lebistes reticulatus	NA	NA	NA	NA	NA	NA	Vertebrate - Fish	Poecilia reticulata	guppy	Freshwater	"Dominican Republic;
Guadeloupe;Martinique;Suriname;Cuba;Grenada;Jamaica;Puerto Rico;St.
Lucia;St. Vincent-Grenadines;"	Dominican Republic;Suriname;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Leptopharasa sp.	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	NA	NA	Bahamas Islands;	NA	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Lepus europaeus	NA	NA	NA	NA	NA	NA	"Vertebrate -
Mammal"	NA	NA	NA	Barbados;	NA	"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"	Caribbean_IAS_db	NA	NA
Leucopis ocellaris	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	NA	Terrestrial	Bahamas Islands;	NA	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Ligia exotica	NA	2	NA	NA	NA	NA	"Invertebrate -
crustacean"	NA	Wharf roach	Marine	Florida;	NA	"Lopez Vyjayanthi and Ulrike Krauss. National and Regional
Capacities and Experiences on Marine Invasive Species,Including
Ballast Waters, Management Programmes in the Wider Caribbean
Region - a Compilation of Current Information. 2006."	Caribbean_IAS_db	NA	NA
Linepithema humile	NA	26	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	Argentine ant (ISC)	NA	Bermuda;Cuba;Venezuela;	Bermuda;Cuba;Venezuela;	"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"	Caribbean_IAS_db	NA	NA
Liothrips varicornis	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	NA	Terrestrial	Bahamas Islands;	NA	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Lipaphis pseudobrassicae	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	Indian mustard aphid	Terrestrial	Bahamas Islands;	NA	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Litopenaeus vannamei	NA	NA	NA	NA	NA	NA	"Invertebrate -
Crustacean"	NA	Whiteleg shrimp;Pacific white shrimp;	Marine	"Aruba;Bahamas;Cuba;Dominican Republic;Jamaica;Puerto Rico;St. Kitts-
Nevis;US Virgin Islands;Suriname;Venezuela;Belize;Florida;Louisiana;Texas;"	NA	"CABI,2011. Litopenaeus vannamei. In: Invasive Species
Compendium. Wallingford, UK: CAB International.
http://www.cabi.org/isc."	Caribbean_IAS_db	NA	NA
Littorina littorea	NA	NA	NA	NA	NA	NA	"Invertebrate -
mollusc"	NA	Common periwinkle	Marine	Florida;	NA	"Lopez Vyjayanthi and Ulrike Krauss. National and Regional
Capacities and Experiences on Marine Invasive Species,Including
Ballast Waters, Management Programmes in the Wider Caribbean
Region - a Compilation of Current Information. 2006."	Caribbean_IAS_db	NA	NA
Lonchura malacca	NA	NA	11	NA	NA	NA	Vertebrate - Bird	NA	Monjita tricolor (DR);Black-headed Munia	Terrestrial	Dominican Republic	Dominican Republic	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Loxosceles reclusa	NA	NA	NA	NA	NA	NA	"Invertebrate -
Arachnid"	NA	Brown recluse spider	NA	Bahamas	NA	"BEST Commission (2003), The National Invasive Species Strategy for
The Bahamas. BEST, Nassau, The Bahamas, 34 pp."	Caribbean_IAS_db	NA	NA
Lucicutia clause	NA	NA	NA	NA	NA	NA	"Invertebrate -
crustacean"	NA	A copepod	Marine	Colombia;	NA	"Lopez Vyjayanthi and Ulrike Krauss. National and Regional
Capacities and Experiences on Marine Invasive Species,Including
Ballast Waters, Management Programmes in the Wider Caribbean
Region - a Compilation of Current Information. 2006."	Caribbean_IAS_db	NA	NA
Lucicutia sp.	NA	NA	NA	NA	NA	NA	"Invertebrate -
crustacean"	NA	A copepod	Marine	Colombia;	NA	"Lopez Vyjayanthi and Ulrike Krauss. National and Regional
Capacities and Experiences on Marine Invasive Species,Including
Ballast Waters, Management Programmes in the Wider Caribbean
Region - a Compilation of Current Information. 2006."	Caribbean_IAS_db	NA	NA
Lucifer typus	NA	NA	NA	NA	NA	NA	"Invertebrate -
crustacean"	NA	A decapod	Marine	Colombia;	NA	"Lopez Vyjayanthi and Ulrike Krauss. National and Regional
Capacities and Experiences on Marine Invasive Species,Including
Ballast Waters, Management Programmes in the Wider Caribbean
Region - a Compilation of Current Information. 2006."	Caribbean_IAS_db	NA	NA
Lutjanus analis	NA	1	8	NA	NA	NA	Vertebrate - Fish	NA	Mutton snapper	Marine	Bermuda;	NA	"Lopez Vyjayanthi and Ulrike Krauss. National and Regional
Capacities and Experiences on Marine Invasive Species,Including
Ballast Waters, Management Programmes in the Wider Caribbean
Region - a Compilation of Current Information. 2006."	Caribbean_IAS_db	NA	NA
Lycoriella sp.	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	NA	Terrestrial	Bahamas Islands;	NA	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Lyrodus medilobatus	NA	NA	NA	NA	NA	NA	"Invertebrate -
mollusc"	NA	An Indo-Pacific shipworm	Marine	Florida;	NA	"Lopez Vyjayanthi and Ulrike Krauss. National and Regional
Capacities and Experiences on Marine Invasive Species,Including
Ballast Waters, Management Programmes in the Wider Caribbean
Region - a Compilation of Current Information. 2006."	Caribbean_IAS_db	NA	NA
Macaca mulatta	NA	NA	NA	NA	NA	NA	"Vertebrate -
Mammal"	NA	rhesus macaque;rhesus monkey;	Terrestrial	Puerto Rico;	Puerto Rico	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Maconellicoccus hirsutus	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	"Cochinilla rosada del Hibiscus (DR);hibiscus
mealybug;pink mealybug;Pink Hibiscus
mealybug (ISC)"	Terrestrial	"Dominican Republic;Grenada;24 Caribbean Islands;Puerto Rico;Trinidad-
Tobago;Curacao;St. Vincent- Grenadines;St. Lucia;Bahamas Islands;St. Kitts-
Nevis;Barbados;Anguilla;Montserrat;British Virgin Islands;Turks-
Caicos;Cayman Islands;US Virgin Islands;Netherlands Antilles;Dominica;
Guadeloupe;St. Martin (France);Venezuela;Antigua-Barbuda;Aruba;
Grenada;Haiti;Martinique;Sint Maarten;Guyana;Suriname;"	"Dominican Republic;Grenada;24 Caribbean Islands;Puerto Rico;Trinidad Tobago;
Curacao;St. Vincent- Grenadines;St. Lucia;Bahamas Islands;St. Kitts Nevis;
Barbados;Anguilla;Cayman Islands (Grand Cayman);Dominica;Netherlands Antilles; St.
Martin (France);Venezuela;US Virgin Islands;Antigua-Barbuda;Aruba; British Virgin
Islands;Guadeloupe;Haiti;Martinique;Montserrat;Sint Maarten;Guyana; Suriname;"	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Macrobrachium rosenbergii	NA	NA	NA	NA	NA	NA	"Invertebrate -
Crustacean"	NA	Freshwater prawn;	Freshwater	Jamaica;	Jamaica:	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Marisa cornuarietis	NA	NA	NA	NA	NA	1	"Invertebrate -
Mollusc"	NA	NA	Freshwater	Martinique	NA	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Melanagromyza obtusa	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	Minador de vaina del guandul (DR);podfly	Terrestrial	Dominican Republic;	Dominican Republic;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Melanchroa chepesea	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	Gooseberry moth	NA	NA	NA	"Colmenarez Yelitza, Ian Gibbs and Matthew Ciomperlik. Challenges
and successes in the
commercialization and use of Biological Control Agents in the
Caribbean. <http://www.iobcnrs.com/documents/joint_meeting/6-
Challenges_for_Commercialization_and_Implementation_of_BC/4.%
20Yelitza%20Colmenarez_%20Challenges%20and%20successes%20
in%20the%20commercialization%20and%20use%20of%20biocontrol
%20agents%20in%20the%20Caribbean.pdf> (Aug. 5, 2011)"	Caribbean_IAS_db	NA	NA
Melanoides amabilis	NA	NA	NA	NA	NA	NA	"Invertebrate -
Mollusc"	NA	NA	Freshwater	Martinique;	Martinique	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Melanoides tuberculata	NA	1	1	6	NA	NA	"Invertebrate -
Mollusc"	NA	Red-rimmed melania(ISC)	"Freshwater
Marine"	"Martinique;Cuba;Dominica;Dominican Republic;Guadeloupe;Montserrat;Puerto
Rico;St. Lucia;Venezuela;Florida;"	"Martinique;Cuba;Dominica;Dominican Republic;Guadeloupe;Montserrat;Puerto Rico;St.
Lucia;Venezuela;"	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Melopsittacus undulatus	NA	NA	NA	NA	NA	NA	Vertebrate - Bird	NA	Periquito;Budgerigar	Terrestrial	Dominican Republic	Dominican Republic	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Metopololphium dirhodum	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	cereal aphid;	Terrestrial	Bahamas Islands;	NA	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Micropterus salmoides	NA	NA	NA	NA	NA	NA	Vertebrate - Fish	NA	Lobina-truche (DR);Largemouth Bass	Freshwater	"Dominican Republic;Puerto Rico;US Virgin Islands;Cuba;Honduras;
Colombia;Guatemala;Costa Rica;Panama;"	Dominican Republic;Cuba;Guatemala;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
